#group,false,false,false,false
#datatype,double,string,string,dateTime:RFC3339
#default,,,,
,price,price_str,symbol,time
,108009.68,108009.68000000,BTCUSDT,2025-06-26T07:29:04.526Z
,108009.68,108009.68000000,BTCUSDT,2025-06-26T07:29:04.534Z
,108009.68,108009.68000000,BTCUSDT,2025-06-26T07:29:04.601Z
,108009.69,108009.69000000,BTCUSDT,2025-06-26T07:29:04.873Z
,108009.68,108009.68000000,BTCUSDT,2025-06-26T07:29:05.182Z
,108009.68,108009.68000000,BTCUSDT,2025-06-26T07:29:05.196Z
,108009.68,108009.68000000,BTCUSDT,2025-06-26T07:29:05.315Z
,108005.92,108005.92000000,BTCUSDT,2025-06-26T07:29:05.318Z
,108004.95,108004.95000000,BTCUSDT,2025-06-26T07:29:05.459Z
,108004.95,108004.95000000,BTCUSDT,2025-06-26T07:29:05.542Z
,108004.95,108004.95000000,BTCUSDT,2025-06-26T07:29:05.659Z
,108004.18,108004.18000000,BTCUSDT,2025-06-26T07:29:05.66Z
,108004.18,108004.18000000,BTCUSDT,2025-06-26T07:29:05.663Z
,108003.94,108003.94000000,BTCUSDT,2025-06-26T07:29:05.807Z
,107998.93,107998.93000000,BTCUSDT,2025-06-26T07:29:06.308Z
,107998.93,107998.93000000,BTCUSDT,2025-06-26T07:29:06.541Z
,107998.93,107998.93000000,BTCUSDT,2025-06-26T07:29:06.833Z
,107998.94,107998.94000000,BTCUSDT,2025-06-26T07:29:06.947Z
,107998.93,107998.93000000,BTCUSDT,2025-06-26T07:29:07.021Z
,107998.88,107998.88000000,BTCUSDT,2025-06-26T07:29:07.084Z
,107993.52,107993.52000000,BTCUSDT,2025-06-26T07:29:07.243Z
,107993.51,107993.51000000,BTCUSDT,2025-06-26T07:29:07.309Z
,107993.51,107993.51000000,BTCUSDT,2025-06-26T07:29:07.366Z
,107993.52,107993.52000000,BTCUSDT,2025-06-26T07:29:08.968Z
,107993.52,107993.52000000,BTCUSDT,2025-06-26T07:29:09.044Z
,107993.52,107993.52000000,BTCUSDT,2025-06-26T07:29:09.696Z
,107993.52,107993.52000000,BTCUSDT,2025-06-26T07:29:10.109Z
,107993.52,107993.52000000,BTCUSDT,2025-06-26T07:29:10.112Z
,107993.51,107993.51000000,BTCUSDT,2025-06-26T07:29:10.645Z
,107993.51,107993.51000000,BTCUSDT,2025-06-26T07:29:11.774Z
,107993.51,107993.51000000,BTCUSDT,2025-06-26T07:29:11.873Z
,107993.51,107993.51000000,BTCUSDT,2025-06-26T07:29:12.388Z
,107993.52,107993.52000000,BTCUSDT,2025-06-26T07:29:13.72Z
,107993.52,107993.52000000,BTCUSDT,2025-06-26T07:29:13.945Z
,107993.51,107993.51000000,BTCUSDT,2025-06-26T07:29:14Z
,107993.51,107993.51000000,BTCUSDT,2025-06-26T07:29:14.077Z
,107993.51,107993.51000000,BTCUSDT,2025-06-26T07:29:14.316Z
,107993.51,107993.51000000,BTCUSDT,2025-06-26T07:29:16.977Z
,107993.52,107993.52000000,BTCUSDT,2025-06-26T07:29:19.047Z
,107993.52,107993.52000000,BTCUSDT,2025-06-26T07:29:19.142Z
,107993.52,107993.52000000,BTCUSDT,2025-06-26T07:29:19.235Z
,107993.52,107993.52000000,BTCUSDT,2025-06-26T07:29:19.261Z
,107987.35,107987.35000000,BTCUSDT,2025-06-26T07:34:36.401Z
,107985.26,107985.26000000,BTCUSDT,2025-06-26T07:34:36.404Z
,107982.36,107982.36000000,BTCUSDT,2025-06-26T07:34:36.415Z
,107975.19,107975.19000000,BTCUSDT,2025-06-26T07:34:36.432Z
,107970.22,107970.22000000,BTCUSDT,2025-06-26T07:34:36.715Z
,107966.89,107966.89000000,BTCUSDT,2025-06-26T07:34:36.769Z
,107963.71,107963.71000000,BTCUSDT,2025-06-26T07:34:36.772Z
,107965.5,107965.50000000,BTCUSDT,2025-06-26T07:34:36.774Z
,107963.4,107963.40000000,BTCUSDT,2025-06-26T07:34:36.776Z
,107963.4,107963.40000000,BTCUSDT,2025-06-26T07:34:36.78Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:36.904Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:36.905Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:37.119Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:37.449Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:37.545Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:37.917Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:34:38.72Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:34:40.344Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:40.945Z
,107962.6,107962.60000000,BTCUSDT,2025-06-26T07:34:41.1Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:41.174Z
,107962.59,107962.59000000,BTCUSDT,2025-06-26T07:34:41.295Z
